"No.","Time","Source","Destination","Protocol","Length","Info"
"1664","14.367723","192.168.56.115","192.168.56.201","TCP","60","3306  >  6262 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1665","14.367801","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1666","14.367831","192.168.56.201","192.168.56.115","TCP","54","6262  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=262400 Len=0"
"1667","14.367963","192.168.56.115","192.168.56.201","TCP","60","3306  >  6262 [FIN, ACK] Seq=160 Ack=92 Win=64256 Len=0"
"1668","14.367979","192.168.56.201","192.168.56.115","TCP","66","6263  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1669","14.367982","192.168.56.201","192.168.56.115","TCP","54","6262  >  3306 [ACK] Seq=92 Ack=161 Win=262400 Len=0"
"1670","14.368071","192.168.56.115","192.168.56.201","TCP","66","3306  >  6263 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1671","14.368094","192.168.56.201","192.168.56.115","TCP","54","6263  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"1672","14.368240","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"1673","14.368272","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"1674","14.370414","192.168.56.115","192.168.56.201","TCP","60","3306  >  6263 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1675","14.370499","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1676","14.370538","192.168.56.115","192.168.56.201","TCP","60","3306  >  6263 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"1677","14.370543","192.168.56.201","192.168.56.115","TCP","54","6263  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"1678","14.370557","192.168.56.201","192.168.56.115","TCP","54","6263  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"1679","14.370645","192.168.56.115","192.168.56.201","TCP","60","3306  >  6263 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"1680","14.370735","192.168.56.201","192.168.56.115","TCP","66","6264  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1681","14.370839","192.168.56.115","192.168.56.201","TCP","66","3306  >  6264 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1682","14.370862","192.168.56.201","192.168.56.115","TCP","54","6264  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"1683","14.371215","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"1684","14.371268","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"1685","14.371386","192.168.56.115","192.168.56.201","TCP","60","3306  >  6264 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1686","14.371492","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1687","14.371531","192.168.56.201","192.168.56.115","TCP","54","6264  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"1688","14.371612","192.168.56.115","192.168.56.201","TCP","60","3306  >  6264 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"1689","14.371633","192.168.56.201","192.168.56.115","TCP","54","6264  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"1690","14.371681","192.168.56.201","192.168.56.115","TCP","66","6265  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1691","14.371747","192.168.56.115","192.168.56.201","TCP","60","3306  >  6264 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"1692","14.371805","192.168.56.115","192.168.56.201","TCP","66","3306  >  6265 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1693","14.371830","192.168.56.201","192.168.56.115","TCP","54","6265  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"1694","14.372058","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"1695","14.372122","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"1696","14.372271","192.168.56.115","192.168.56.201","TCP","60","3306  >  6265 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1697","14.372354","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1698","14.372401","192.168.56.115","192.168.56.201","TCP","60","3306  >  6265 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"1699","14.372402","192.168.56.201","192.168.56.115","TCP","54","6265  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"1700","14.372428","192.168.56.201","192.168.56.115","TCP","54","6265  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"1701","14.372520","192.168.56.115","192.168.56.201","TCP","60","3306  >  6265 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"1702","14.372560","192.168.56.201","192.168.56.115","TCP","66","6266  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1703","14.372623","192.168.56.115","192.168.56.201","TCP","66","3306  >  6266 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1704","14.372648","192.168.56.201","192.168.56.115","TCP","54","6266  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"1705","14.372850","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"1706","14.372880","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"1707","14.372996","192.168.56.115","192.168.56.201","TCP","60","3306  >  6266 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1708","14.373072","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1709","14.373107","192.168.56.201","192.168.56.115","TCP","54","6266  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"1710","14.373197","192.168.56.115","192.168.56.201","TCP","60","3306  >  6266 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"1711","14.373211","192.168.56.201","192.168.56.115","TCP","54","6266  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"1712","14.373222","192.168.56.115","192.168.56.201","TCP","60","3306  >  6266 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"1713","14.373230","192.168.56.201","192.168.56.115","TCP","66","6267  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1714","14.373299","192.168.56.115","192.168.56.201","TCP","66","3306  >  6267 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1715","14.373318","192.168.56.201","192.168.56.115","TCP","54","6267  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"1716","14.373528","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"1717","14.373580","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"1718","14.373742","192.168.56.115","192.168.56.201","TCP","60","3306  >  6267 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"1719","14.373823","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"1720","14.373853","192.168.56.201","192.168.56.115","TCP","54","6267  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"1721","14.373855","192.168.56.115","192.168.56.201","TCP","60","3306  >  6267 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"1722","14.373866","192.168.56.201","192.168.56.115","TCP","54","6267  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
