"No.","Time","Source","Destination","Protocol","Length","Info"
"172","3.665316","192.168.56.115","192.168.56.107","TCP","60","40773  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"173","3.708116","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"174","3.719923","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"175","3.720428","192.168.56.115","192.168.56.107","TCP","60","40773  >  445 [ACK] Seq=286 Ack=415 Win=64128 Len=0"
"176","3.756942","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"177","3.762330","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"178","3.785736","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"179","3.792305","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"180","3.819188","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"181","3.819489","192.168.56.107","192.168.56.115","TCP","54","445  >  40773 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"182","3.825684","192.168.56.115","192.168.56.107","TCP","74","37587  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592389580 TSecr=0 WS=128"
"183","3.825836","192.168.56.107","192.168.56.115","TCP","66","445  >  37587 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"184","3.825936","192.168.56.115","192.168.56.107","TCP","60","37587  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"185","3.832228","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"186","3.856683","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"187","3.857505","192.168.56.115","192.168.56.107","TCP","60","37587  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"188","3.901839","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"189","3.905402","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"190","3.905801","192.168.56.115","192.168.56.107","TCP","60","37587  >  445 [ACK] Seq=286 Ack=415 Win=64128 Len=0"
"191","3.941009","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"192","3.944469","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"193","3.976770","192.168.56.107","192.168.56.115","TCP","319","[TCP Retransmission] 445  >  37587 [PSH, ACK] Seq=415 Ack=456 Win=2102016 Len=265"
"194","3.977709","192.168.56.115","192.168.56.107","TCP","66","37587  >  445 [ACK] Seq=456 Ack=680 Win=64128 Len=0 SLE=415 SRE=680"
"195","3.980299","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"196","4.005587","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"197","4.037758","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"198","4.037930","192.168.56.107","192.168.56.115","TCP","54","445  >  37587 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"199","4.042954","192.168.56.115","192.168.56.107","TCP","74","45727  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592389797 TSecr=0 WS=128"
"200","4.043177","192.168.56.107","192.168.56.115","TCP","66","445  >  45727 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"201","4.045488","192.168.56.115","192.168.56.107","TCP","60","45727  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"202","4.048946","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"203","4.163674","192.168.56.107","192.168.56.115","TCP","54","445  >  45727 [ACK] Seq=1 Ack=74 Win=2102272 Len=0"
"204","4.208442","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"205","4.208875","192.168.56.115","192.168.56.107","TCP","60","45727  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"206","4.240024","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"207","4.273052","192.168.56.107","192.168.56.115","TCP","54","445  >  45727 [ACK] Seq=175 Ack=286 Win=2102016 Len=0"
"208","4.344944","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"209","4.374188","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"210","4.380368","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"211","4.403861","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"212","4.407642","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"213","4.428794","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"214","4.428940","192.168.56.107","192.168.56.115","TCP","54","445  >  45727 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"215","4.431723","192.168.56.115","192.168.56.107","TCP","74","41201  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592390186 TSecr=0 WS=128"
