"No.","Time","Source","Destination","Protocol","Length","Info"
"1161","0.734181","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1162","0.734621","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1163","0.734669","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1164","0.734788","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1165","0.735125","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1166","0.735151","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1167","0.736253","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1168","0.736302","192.168.56.201","192.168.56.107","SMB","594","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1169","0.738098","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1170","0.738160","192.168.56.201","192.168.56.107","SMB","594","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1171","0.738191","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1172","0.738209","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1173","0.738220","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=6448 Ack=4593 Win=2102272 Len=0"
"1174","0.738234","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1175","0.738243","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=6448 Ack=4632 Win=2102272 Len=0"
"1176","0.738928","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1177","0.738975","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1178","0.739799","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1179","0.739851","192.168.56.201","192.168.56.107","SMB","510","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1180","0.740188","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1181","0.740230","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1182","0.740264","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1183","0.740966","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1184","0.741004","192.168.56.201","192.168.56.107","SMB","594","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1185","0.741291","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1186","0.741321","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1187","0.744758","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1188","0.744814","192.168.56.201","192.168.56.107","SMB","596","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1189","0.746676","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1190","0.746819","192.168.56.201","192.168.56.107","SMB","596","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1191","0.747590","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1192","0.747632","192.168.56.201","192.168.56.107","SMB","830","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1193","0.747665","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1194","0.747689","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1195","0.747844","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1196","0.748211","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1197","0.748239","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1198","0.749654","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1199","0.749697","192.168.56.201","192.168.56.107","SMB","834","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1200","0.750578","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1201","0.750656","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1202","0.753029","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1203","0.753067","192.168.56.201","192.168.56.107","SMB","510","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1204","0.753192","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1205","0.753368","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1206","0.753389","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=11626 Ack=8317 Win=2101760 Len=0"
"1207","0.753445","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1208","0.753808","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1209","0.753848","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1210","0.754108","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1211","0.754688","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1212","0.754727","192.168.56.201","192.168.56.107","SMB","748","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1213","0.755253","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1214","0.756067","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1215","0.756101","192.168.56.201","192.168.56.107","SMB","358","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1216","0.756226","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1217","0.756504","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1218","0.757896","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1219","0.757921","192.168.56.201","192.168.56.107","TCP","54","45716  >  445 [ACK] Seq=127778 Ack=96469 Win=2100992 Len=0"
"1220","0.759385","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1221","0.761522","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1222","0.761610","192.168.56.201","192.168.56.107","SMB","510","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1223","0.761654","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1224","0.762766","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1225","0.762809","192.168.56.201","192.168.56.107","SMB","834","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1226","0.762845","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1227","0.763036","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1228","0.763060","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=14250 Ack=9869 Win=2101760 Len=0"
"1229","0.763173","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1230","0.763308","192.168.56.201","192.168.56.107","SMB","1514","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1231","0.763308","192.168.56.201","192.168.56.107","SMB","146","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1232","0.763333","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1233","0.763434","192.168.56.107","192.168.56.201","TCP","54","445  >  45716 [ACK] Seq=96469 Ack=129718 Win=2102272 Len=0"
"1234","0.763502","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1235","0.763541","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=14640 Ack=10257 Win=2101504 Len=0"
"1236","0.763582","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1237","0.763621","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1238","0.763762","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1239","0.763894","192.168.56.107","192.168.56.201","TCP","54","445  >  45716 [ACK] Seq=96469 Ack=130106 Win=2101760 Len=0"
"1240","0.763968","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1241","0.764202","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1242","0.764232","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=15030 Ack=10374 Win=2101504 Len=0"
"1243","0.764575","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1244","0.764686","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1245","0.764694","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1246","0.765056","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1247","0.765092","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1248","0.765251","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1249","0.765537","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1250","0.765970","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1251","0.766376","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1252","0.766595","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1253","0.766614","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1254","0.767177","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1255","0.767348","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1256","0.767684","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1257","0.771162","192.168.56.201","192.168.56.107","SMB","1514","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1258","0.771162","192.168.56.201","192.168.56.107","SMB","146","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1259","0.771431","192.168.56.107","192.168.56.201","TCP","54","445  >  45716 [ACK] Seq=96508 Ack=132434 Win=2102272 Len=0"
"1260","0.772767","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1261","0.772912","192.168.56.201","192.168.56.107","SMB","1514","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1262","0.772912","192.168.56.201","192.168.56.107","SMB","134","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1263","0.773083","192.168.56.107","192.168.56.201","TCP","54","445  >  45717 [ACK] Seq=12158 Ack=17568 Win=2102272 Len=0"
"1264","0.773314","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1265","0.773468","192.168.56.107","192.168.56.201","TCP","54","445  >  45717 [ACK] Seq=12158 Ack=17958 Win=2101760 Len=0"
"1266","0.773714","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1267","0.774198","192.168.56.201","192.168.56.107","SMB","442","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
"1268","0.775419","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1269","0.775473","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1270","0.776343","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1271","0.776378","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1272","0.776415","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1273","0.776432","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=19128 Ack=12895 Win=2102272 Len=0"
"1274","0.776452","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1275","0.776466","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=19128 Ack=13244 Win=2102016 Len=0"
"1276","0.776481","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1277","0.776748","192.168.56.107","192.168.56.201","TCP","54","445  >  45717 [ACK] Seq=13283 Ack=19128 Win=2102272 Len=0"
"1278","0.777018","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1279","0.777067","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=19128 Ack=13322 Win=2101760 Len=0"
"1280","0.777424","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1281","0.777725","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1282","0.777767","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1283","0.777953","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"1284","0.778394","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1285","0.778680","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1286","0.778930","192.168.56.201","192.168.56.107","SMB","444","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\webadmin"
"1287","0.779282","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1288","0.779611","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1289","0.779641","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=20212 Ack=14447 Win=2102272 Len=0"
"1290","0.779786","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1291","0.779944","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"1292","0.779980","192.168.56.201","192.168.56.107","TCP","54","45717  >  445 [ACK] Seq=20212 Ack=15145 Win=2101504 Len=0"
"1293","0.780408","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"1294","0.780729","192.168.56.201","192.168.56.107","SMB","1514","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\manager"
